name,variant,survey,band,freq_MHz,flux_or_mag_cut,D_obs,D_obs_err,RA_deg,RA_err_deg,Dec_deg,Dec_err_deg,l_deg,b_deg,sigma_dir_deg_approx,x_count_slope,alpha_spectral,beta_assumed,D_kin_from_x_alpha,D_ratio_obs_over_kin,reference,notes,z_mean,z_notes
NVSS,baseline,NVSS,radio,1400.0,S ≥ 15 mJy; |b|≥7°; plus bright-source and survey masks (see paper),0.0139,0.0029,151.0,12.0,-9.0,14.0,248.6919820111538,35.686950427157186,18.34328403457928,0.74,0.75,0.00123,0.00405285,3.429685283195776,"Wagenveld et al. 2025 (A&A 697 A112), arXiv:2503.02470",x and α from Sec. 3.1; D_kin expectation reported as 0.41×10^-2 for β=1.23×10^-3.,1.0,Shared radio z_mean=1 assumed (Protocol D-BAO v0 sensitivity scaffold).
RACS_low,baseline,RACS-low,radio,887.5,S ≥ 15 mJy; |b|≥7°; plus bright-source and survey masks (see paper),0.0143,0.0024,190.0,10.0,3.0,13.0,295.97396691200026,65.71710929004476,16.392867191812837,0.72,0.88,0.00123,0.004124928,3.466727176813753,"Wagenveld et al. 2025 (A&A 697 A112), arXiv:2503.02470",x and α from Sec. 3.2; D_kin expectation reported as 0.41×10^-2 for β=1.23×10^-3.,1.0,Shared radio z_mean=1 assumed (Protocol D-BAO v0 sensitivity scaffold).
CatWISE_W1lt16p5,baseline,CatWISE AGNs W1<16.5,mid-IR,,W1 < 16.5 (≈0.078 mJy); |b|≥30°; plus Secrest et al. masks; ecliptic-latitude trend modelled,0.0151,0.0016,141.0,5.0,-6.0,6.0,238.4326941096269,29.932237492808586,7.792743099138619,1.9,1.07,0.00123,0.00729759,2.069176262300294,"Wagenveld et al. 2025 (A&A 697 A112), arXiv:2503.02470",x and α from Sec. 3.3; Table 1 includes ε=(9.2±0.4)×10^-4 for ecliptic-latitude trend.,1.2,From Dam et al. 2022/2023 CatWISE quasar sample: mean z≈1.2; 99% z>0.1; 61% z>1 (selection differs slightly).
NVSS,2MRS_clean,NVSS (2MRS z<0.02 matched sources removed),radio,1400.0,Same as baseline; additionally removes matches to 2MRS with z<0.02 (Table 1 note a),0.012,0.0029,152.0,14.0,-10.0,16.0,250.42127307992752,35.71160405054945,21.120839870540635,0.74,0.75,0.00123,0.00405285,2.960879381176209,"Wagenveld et al. 2025 (A&A 697 A112), arXiv:2503.02470",Table 1 'NVSSa'. Removes 4681 matches to 2MRS z<0.02 before flux cut.,1.0,Shared radio z_mean=1 assumed (Protocol D-BAO v0 sensitivity scaffold).
RACS_low,2MRS_clean,RACS-low (2MRS z<0.02 matched sources removed),radio,887.5,Same as baseline; additionally removes matches to 2MRS with z<0.02 (Table 1 note a),0.0134,0.0024,194.0,11.0,8.0,14.0,306.3751606977795,70.84124382670646,17.738554975089382,0.72,0.88,0.00123,0.004124928,3.248541550301,"Wagenveld et al. 2025 (A&A 697 A112), arXiv:2503.02470",Table 1 'RACS-lowa'. Removes 4314 matches to 2MRS z<0.02 before flux cut.,1.0,Shared radio z_mean=1 assumed (Protocol D-BAO v0 sensitivity scaffold).
CatWISE_W1lt16p5,2MRS_clean,CatWISE AGNs W1<16.5,mid-IR,,Same as baseline; 66 matches to 2MRS z<0.02 removed (paper notes negligible change),0.0151,0.0016,141.0,5.0,-6.0,6.0,238.4326941096269,29.932237492808586,7.792743099138619,1.9,1.07,0.00123,0.00729759,2.069176262300294,"Wagenveld et al. 2025 (A&A 697 A112), arXiv:2503.02470",Not listed as separate 'a' row in Table 1; included here for convenience as change is negligible.,1.2,From Dam et al. 2022/2023 CatWISE quasar sample: mean z≈1.2; 99% z>0.1; 61% z>1 (selection differs slightly).
Quaia_G<20.0_pmSig_lt2_0p6_1p0,baseline,"Quaia (Gaia–unWISE quasars) G<20.0, pmSig_lt2, z∈[0.6,1.0)",optical+IR,,"G<20.0; pmSig_lt2; |b|≥30°; z∈[0.6,1.0)",0.018081577527363207,0.007280965119535412,198.7928675951767,,-2.9210446510164547,,314.6367476056161,59.410264912986825,24.269888407777966,1.4029236269493006,0.0,0.00123,0.00418559606114764,4.319952824689312,Zenodo Quaia bundle (Secrest/CatWISE-related); user-provided FITS + random_10x; dipole remeasured locally,Debiased by random_10x; sigma_mag combines mask-scan amplitude std + shot proxy sqrt(3/N); sigma_dir=max separation across |b|≥20/25/30 after cuts.,0.8180457891365732,z_mean from Quaia redshift_quaia within bin; used by BAO harness.
Quaia_G<20.0_pmSig_lt2_0p6_1p0,2MRS_clean,"Quaia (Gaia–unWISE quasars) G<20.0, pmSig_lt2, z∈[0.6,1.0)",optical+IR,,"G<20.0; pmSig_lt2; |b|≥30°; z∈[0.6,1.0)",0.018081577527363207,0.007280965119535412,198.7928675951767,,-2.9210446510164516,,314.6367476056161,59.410264912986825,24.269888407777966,1.4029236269493006,0.0,0.00123,0.00418559606114764,4.319952824689312,Zenodo Quaia bundle (Secrest/CatWISE-related); user-provided FITS + random_10x; dipole remeasured locally,Debiased by random_10x; sigma_mag combines mask-scan amplitude std + shot proxy sqrt(3/N); sigma_dir=max separation across |b|≥20/25/30 after cuts.,0.8180457891365732,z_mean from Quaia redshift_quaia within bin; used by BAO harness.
Quaia_G<20.0_pmSig_lt2_1p0_1p5,baseline,"Quaia (Gaia–unWISE quasars) G<20.0, pmSig_lt2, z∈[1.0,1.5)",optical+IR,,"G<20.0; pmSig_lt2; |b|≥30°; z∈[1.0,1.5)",0.02032611540959731,0.005967880312934136,215.28856673351794,,-6.896128795073044,,338.7262021950318,49.637401631455425,10.100323703954537,1.4029236269493006,0.0,0.00123,0.00418559606114764,4.856205690337002,Zenodo Quaia bundle (Secrest/CatWISE-related); user-provided FITS + random_10x; dipole remeasured locally,Debiased by random_10x; sigma_mag combines mask-scan amplitude std + shot proxy sqrt(3/N); sigma_dir=max separation across |b|≥20/25/30 after cuts.,1.2593244815869629,z_mean from Quaia redshift_quaia within bin; used by BAO harness.
Quaia_G<20.0_pmSig_lt2_1p0_1p5,2MRS_clean,"Quaia (Gaia–unWISE quasars) G<20.0, pmSig_lt2, z∈[1.0,1.5)",optical+IR,,"G<20.0; pmSig_lt2; |b|≥30°; z∈[1.0,1.5)",0.02032611540959731,0.005967880312934136,215.28856673351794,,-6.896128795073045,,338.7262021950318,49.637401631455425,10.100323703954537,1.4029236269493006,0.0,0.00123,0.00418559606114764,4.856205690337002,Zenodo Quaia bundle (Secrest/CatWISE-related); user-provided FITS + random_10x; dipole remeasured locally,Debiased by random_10x; sigma_mag combines mask-scan amplitude std + shot proxy sqrt(3/N); sigma_dir=max separation across |b|≥20/25/30 after cuts.,1.2593244815869629,z_mean from Quaia redshift_quaia within bin; used by BAO harness.
Quaia_G<20.0_pmSig_lt2_1p5_3p0,baseline,"Quaia (Gaia–unWISE quasars) G<20.0, pmSig_lt2, z∈[1.5,3.0)",optical+IR,,"G<20.0; pmSig_lt2; |b|≥30°; z∈[1.5,3.0)",0.02111643732643451,0.004173651559954427,201.63595286523503,,-3.7488974489412183,,319.61999973721584,57.98087853649593,7.9490563965935666,1.4029236269493006,0.0,0.00123,0.00418559606114764,5.0450251333246525,Zenodo Quaia bundle (Secrest/CatWISE-related); user-provided FITS + random_10x; dipole remeasured locally,Debiased by random_10x; sigma_mag combines mask-scan amplitude std + shot proxy sqrt(3/N); sigma_dir=max separation across |b|≥20/25/30 after cuts.,2.063375928734873,z_mean from Quaia redshift_quaia within bin; used by BAO harness.
Quaia_G<20.0_pmSig_lt2_1p5_3p0,2MRS_clean,"Quaia (Gaia–unWISE quasars) G<20.0, pmSig_lt2, z∈[1.5,3.0)",optical+IR,,"G<20.0; pmSig_lt2; |b|≥30°; z∈[1.5,3.0)",0.02111643732643451,0.004173651559954427,201.63595286523503,,-3.7488974489412215,,319.61999973721584,57.98087853649593,7.9490563965935666,1.4029236269493006,0.0,0.00123,0.00418559606114764,5.0450251333246525,Zenodo Quaia bundle (Secrest/CatWISE-related); user-provided FITS + random_10x; dipole remeasured locally,Debiased by random_10x; sigma_mag combines mask-scan amplitude std + shot proxy sqrt(3/N); sigma_dir=max separation across |b|≥20/25/30 after cuts.,2.063375928734873,z_mean from Quaia redshift_quaia within bin; used by BAO harness.
