pack,variant,drop,std_full,std_drop,delta_std,mean_full,mean_drop,delta_mean,dAICc_full,dAICc_drop,delta_dAICc,g_full_l,g_full_b,g_drop_l,g_drop_b,g_shift_deg,angle_full_CatWISE_W1lt16p5,angle_full_LoTSS_DR2,angle_full_NVSS,outlier_full,outlier_angle_deg,angle_full_RACS_low
boehme_lotssswap,baseline,LoTSS_DR2,13.99,6.1,7.890000000000001,20.4,10.61,9.79,-39.310678,-23.981926,15.328752000000001,230.315,19.028,228.27,16.224,3.41466971428251,7.87,39.92,13.4,LoTSS_DR2,39.92,
boehme_lotssswap,baseline,CatWISE_W1lt16p5,13.99,9.08,4.91,20.4,13.61,6.789999999999999,-39.310678,-1.155265,38.155413,230.315,19.028,244.844,30.861,17.674255362472426,7.87,39.92,13.4,LoTSS_DR2,39.92,
boehme_lotssswap,baseline,NVSS,13.99,18.87,-4.880000000000001,20.4,23.87,-3.4700000000000024,-39.310678,-21.683071,17.627607,230.315,19.028,227.836,17.237,2.9592606104586845,7.87,39.92,13.4,LoTSS_DR2,39.92,
boehme_lotssswap,2MRS_clean,LoTSS_DR2,13.99,6.1,7.890000000000001,20.4,10.61,9.79,-39.310678,-23.981926,15.328752000000001,230.315,19.028,228.27,16.224,3.41466971428251,7.87,39.92,13.4,LoTSS_DR2,39.92,
boehme_lotssswap,2MRS_clean,CatWISE_W1lt16p5,13.99,9.08,4.91,20.4,13.61,6.789999999999999,-39.310678,-1.155265,38.155413,230.315,19.028,244.844,30.861,17.674255362472426,7.87,39.92,13.4,LoTSS_DR2,39.92,
boehme_lotssswap,2MRS_clean,NVSS,13.99,18.87,-4.880000000000001,20.4,23.87,-3.4700000000000024,-39.310678,-21.683071,17.627607,230.315,19.028,227.836,17.237,2.9592606104586845,7.87,39.92,13.4,LoTSS_DR2,39.92,
wagenveld_tier1,baseline,CatWISE_W1lt16p5,19.24,2.82,16.419999999999998,28.66,28.16,0.5,-41.950593,-10.753808,31.196785,238.489,35.374,267.265,56.621,28.76180760450073,25.4,,6.9,RACS_low,53.67,53.67
wagenveld_tier1,baseline,RACS_low,19.24,6.05,13.189999999999998,28.66,12.3,16.36,-41.950593,-25.331034,16.619559,238.489,35.374,229.311,17.695,19.468001397577734,25.4,,6.9,RACS_low,53.67,53.67
wagenveld_tier1,baseline,NVSS,19.24,13.5,5.739999999999998,28.66,39.48,-10.819999999999997,-41.950593,-21.71411,20.236482999999996,238.489,35.374,236.822,36.818,1.9746438267574973,25.4,,6.9,RACS_low,53.67,53.67
wagenveld_tier1,2MRS_clean,CatWISE_W1lt16p5,20.64,5.58,15.06,32.2,32.49,-0.28999999999999915,-34.424952,-3.969288,30.455664,236.701,36.875,272.309,62.954,33.88313556420599,25.99,,10.6,RACS_low,60.01,60.01
wagenveld_tier1,2MRS_clean,RACS_low,20.64,7.05,13.59,32.2,12.4,19.800000000000004,-34.424952,-21.062658,13.362293999999999,236.701,36.875,228.893,16.822,21.207445382807673,25.99,,10.6,RACS_low,60.01,60.01
wagenveld_tier1,2MRS_clean,NVSS,20.64,16.25,4.390000000000001,32.2,42.9,-10.699999999999996,-34.424952,-18.480716,15.944235999999997,236.701,36.875,234.336,38.432,2.435037317111822,25.99,,10.6,RACS_low,60.01,60.01
