name,variant,survey,band,freq_MHz,flux_or_mag_cut,D_obs,D_obs_err,RA_deg,RA_err_deg,Dec_deg,Dec_err_deg,l_deg,b_deg,sigma_dir_deg_approx,x_count_slope,alpha_spectral,beta_assumed,D_kin_from_x_alpha,D_ratio_obs_over_kin,reference,notes,z_mean,z_notes
NVSS,baseline,NVSS,radio,1400.0,S ≥ 15 mJy; |b|≥7°; plus bright-source and survey masks (see paper),0.0139,0.0029,151.0,12.0,-9.0,14.0,248.6919820111538,35.686950427157186,18.34328403457928,0.74,0.75,0.00123,0.00405285,3.429685283195776,"Wagenveld et al. 2025 (A&A 697 A112), arXiv:2503.02470",x and α from Sec. 3.1; D_kin expectation reported as 0.41×10^-2 for β=1.23×10^-3.,1.0,Shared radio z_mean=1 assumed (Protocol D-BAO v0 sensitivity scaffold).
RACS_low,baseline,RACS-low,radio,887.5,S ≥ 15 mJy; |b|≥7°; plus bright-source and survey masks (see paper),0.0143,0.0024,190.0,10.0,3.0,13.0,295.97396691200026,65.71710929004476,16.392867191812837,0.72,0.88,0.00123,0.004124928,3.466727176813753,"Wagenveld et al. 2025 (A&A 697 A112), arXiv:2503.02470",x and α from Sec. 3.2; D_kin expectation reported as 0.41×10^-2 for β=1.23×10^-3.,1.0,Shared radio z_mean=1 assumed (Protocol D-BAO v0 sensitivity scaffold).
CatWISE_W1lt16p5,baseline,CatWISE AGNs W1<16.5,mid-IR,,W1 < 16.5 (≈0.078 mJy); |b|≥30°; plus Secrest et al. masks; ecliptic-latitude trend modelled,0.0151,0.0016,141.0,5.0,-6.0,6.0,238.4326941096269,29.932237492808586,7.792743099138619,1.9,1.07,0.00123,0.00729759,2.069176262300294,"Wagenveld et al. 2025 (A&A 697 A112), arXiv:2503.02470",x and α from Sec. 3.3; Table 1 includes ε=(9.2±0.4)×10^-4 for ecliptic-latitude trend.,1.2,From Dam et al. 2022/2023 CatWISE quasar sample: mean z≈1.2; 99% z>0.1; 61% z>1 (selection differs slightly).
NVSS,2MRS_clean,NVSS (2MRS z<0.02 matched sources removed),radio,1400.0,Same as baseline; additionally removes matches to 2MRS with z<0.02 (Table 1 note a),0.012,0.0029,152.0,14.0,-10.0,16.0,250.42127307992752,35.71160405054945,21.120839870540635,0.74,0.75,0.00123,0.00405285,2.960879381176209,"Wagenveld et al. 2025 (A&A 697 A112), arXiv:2503.02470",Table 1 'NVSSa'. Removes 4681 matches to 2MRS z<0.02 before flux cut.,1.0,Shared radio z_mean=1 assumed (Protocol D-BAO v0 sensitivity scaffold).
RACS_low,2MRS_clean,RACS-low (2MRS z<0.02 matched sources removed),radio,887.5,Same as baseline; additionally removes matches to 2MRS with z<0.02 (Table 1 note a),0.0134,0.0024,194.0,11.0,8.0,14.0,306.3751606977795,70.84124382670646,17.738554975089382,0.72,0.88,0.00123,0.004124928,3.248541550301,"Wagenveld et al. 2025 (A&A 697 A112), arXiv:2503.02470",Table 1 'RACS-lowa'. Removes 4314 matches to 2MRS z<0.02 before flux cut.,1.0,Shared radio z_mean=1 assumed (Protocol D-BAO v0 sensitivity scaffold).
CatWISE_W1lt16p5,2MRS_clean,CatWISE AGNs W1<16.5,mid-IR,,Same as baseline; 66 matches to 2MRS z<0.02 removed (paper notes negligible change),0.0151,0.0016,141.0,5.0,-6.0,6.0,238.4326941096269,29.932237492808586,7.792743099138619,1.9,1.07,0.00123,0.00729759,2.069176262300294,"Wagenveld et al. 2025 (A&A 697 A112), arXiv:2503.02470",Not listed as separate 'a' row in Table 1; included here for convenience as change is negligible.,1.2,From Dam et al. 2022/2023 CatWISE quasar sample: mean z≈1.2; 99% z>0.1; 61% z>1 (selection differs slightly).
Quaia_G20p5_z0p6_1p0,baseline,"Quaia quasars (Gaia–unWISE) z∈[0.6,1.0)",optical/IR,,"G < 20.5; z∈[0.6,1.0); |b|≥30°; debias via provided random_10x",0.02496341924468757,0.006588843294821301,210.82753544053486,19.667911366965395,-11.910599261966565,19.667911366965395,329.33102848567427,47.24368195342494,19.667911366965395,1.190316,0.0,0.00123,0.00392408868,6.361583868356301,Quaia dataset (Gaia–unWISE quasar catalogue); dipole computed here with random_10x debias,sigma_dir from direction variation under |b| mask scan (20/25/30): 19.67°; D_obs_err combines shot-noise + mask-scan amplitude scatter.,0.8181879949543619,Mean redshift computed from redshift_quaia for objects in bin after |b|≥30° cut.
Quaia_G20p5_z0p6_1p0,2MRS_clean,"Quaia quasars (Gaia–unWISE) z∈[0.6,1.0) [no 2MRS clean]",optical/IR,,"G < 20.5; z∈[0.6,1.0); |b|≥30°; debias via provided random_10x",0.02496341924468757,0.006588843294821301,210.82753544053486,19.667911366965395,-11.910599261966565,19.667911366965395,329.33102848567427,47.24368195342494,19.667911366965395,1.190316,0.0,0.00123,0.00392408868,6.361583868356301,Quaia dataset (Gaia–unWISE quasar catalogue); dipole computed here with random_10x debias,sigma_dir from direction variation under |b| mask scan (20/25/30): 19.67°; D_obs_err combines shot-noise + mask-scan amplitude scatter.,0.8181879949543619,Mean redshift computed from redshift_quaia for objects in bin after |b|≥30° cut.
Quaia_G20p5_z1p0_1p5,baseline,"Quaia quasars (Gaia–unWISE) z∈[1.0,1.5)",optical/IR,,"G < 20.5; z∈[1.0,1.5); |b|≥30°; debias via provided random_10x",0.015858600276401354,0.005739768411398254,212.02722830941366,25.049085159525287,0.3002023781491188,25.049085159525287,340.5520811856716,57.461042993048096,25.049085159525287,1.190316,0.0,0.00123,0.00392408868,4.041346047358275,Quaia dataset (Gaia–unWISE quasar catalogue); dipole computed here with random_10x debias,sigma_dir from direction variation under |b| mask scan (20/25/30): 25.05°; D_obs_err combines shot-noise + mask-scan amplitude scatter.,1.2605463316184857,Mean redshift computed from redshift_quaia for objects in bin after |b|≥30° cut.
Quaia_G20p5_z1p0_1p5,2MRS_clean,"Quaia quasars (Gaia–unWISE) z∈[1.0,1.5) [no 2MRS clean]",optical/IR,,"G < 20.5; z∈[1.0,1.5); |b|≥30°; debias via provided random_10x",0.015858600276401354,0.005739768411398254,212.02722830941366,25.049085159525287,0.3002023781491188,25.049085159525287,340.5520811856716,57.461042993048096,25.049085159525287,1.190316,0.0,0.00123,0.00392408868,4.041346047358275,Quaia dataset (Gaia–unWISE quasar catalogue); dipole computed here with random_10x debias,sigma_dir from direction variation under |b| mask scan (20/25/30): 25.05°; D_obs_err combines shot-noise + mask-scan amplitude scatter.,1.2605463316184857,Mean redshift computed from redshift_quaia for objects in bin after |b|≥30° cut.
Quaia_G20p5_z1p5_3p0,baseline,"Quaia quasars (Gaia–unWISE) z∈[1.5,3.0)",optical/IR,,"G < 20.5; z∈[1.5,3.0); |b|≥30°; debias via provided random_10x",0.020240769157619597,0.0031206317489579165,201.21591442571827,10.206411574299848,4.8275787042221285,10.206411574299848,324.06552285999345,66.3181533425533,10.206411574299848,1.190316,0.0,0.00123,0.00392408868,5.158081482913785,Quaia dataset (Gaia–unWISE quasar catalogue); dipole computed here with random_10x debias,sigma_dir from direction variation under |b| mask scan (20/25/30): 10.21°; D_obs_err combines shot-noise + mask-scan amplitude scatter.,2.0585483839819902,Mean redshift computed from redshift_quaia for objects in bin after |b|≥30° cut.
Quaia_G20p5_z1p5_3p0,2MRS_clean,"Quaia quasars (Gaia–unWISE) z∈[1.5,3.0) [no 2MRS clean]",optical/IR,,"G < 20.5; z∈[1.5,3.0); |b|≥30°; debias via provided random_10x",0.020240769157619597,0.0031206317489579165,201.21591442571827,10.206411574299848,4.8275787042221285,10.206411574299848,324.06552285999345,66.3181533425533,10.206411574299848,1.190316,0.0,0.00123,0.00392408868,5.158081482913785,Quaia dataset (Gaia–unWISE quasar catalogue); dipole computed here with random_10x debias,sigma_dir from direction variation under |b| mask scan (20/25/30): 10.21°; D_obs_err combines shot-noise + mask-scan amplitude scatter.,2.0585483839819902,Mean redshift computed from redshift_quaia for objects in bin after |b|≥30° cut.
