pack,variant,model,template,drop,g_l,g_b,dAICc,chi2,aicc,success,s_l,s_b,gamma
protocol_d_input_pack_boehme2025_lotss_dr2_swap_tier1__zradio_1p0__catwise_w1lt16p5.csv,baseline,BAO_P1,-,CatWISE_W1lt16p5,244.781299775766,30.778231672694076,-1.448212503398338,0.2656639055993187,18.265663905599318,True,,,
protocol_d_input_pack_boehme2025_lotss_dr2_swap_tier1__zradio_1p0__catwise_w1lt16p5.csv,baseline,BAO_P1,-,LoTSS_DR2,228.3229449723375,16.276069304889177,-24.197943611814708,0.7440746953254379,18.744074695325438,True,,,
protocol_d_input_pack_boehme2025_lotss_dr2_swap_tier1__zradio_1p0__catwise_w1lt16p5.csv,baseline,BAO_P1,-,NVSS,227.83563290096248,17.236802359198183,-21.68307118647749,1.1796095952431855,19.179609595243186,True,,,
protocol_d_input_pack_boehme2025_lotss_dr2_swap_tier1__zradio_1p0__catwise_w1lt16p5.csv,baseline,BAO_P1+SYS,radio,CatWISE_W1lt16p5,244.78129985199013,30.778231755500872,,0.2656639055993187,,True,264.25023604220775,38.35777749565275,0.00021686402615005385
protocol_d_input_pack_boehme2025_lotss_dr2_swap_tier1__zradio_1p0__catwise_w1lt16p5.csv,baseline,BAO_P1+SYS,radio,LoTSS_DR2,233.95936503144742,21.083752408134174,,6.3223385162465e-25,,True,324.30500874164835,42.93986847698325,0.003861490400967842
protocol_d_input_pack_boehme2025_lotss_dr2_swap_tier1__zradio_1p0__catwise_w1lt16p5.csv,baseline,BAO_P1+SYS,radio,NVSS,241.30300263795147,32.81740063952155,,1.2610129799346571e-24,,True,5.8758054268243995,37.06890234976365,0.007707174142640542
protocol_d_input_pack_boehme2025_lotss_dr2_swap_tier1__zradio_1p0__catwise_w1lt16p5.csv,2MRS_clean,BAO_P1,-,CatWISE_W1lt16p5,244.781299775766,30.778231672694076,-1.448212503398338,0.2656639055993187,18.265663905599318,True,,,
protocol_d_input_pack_boehme2025_lotss_dr2_swap_tier1__zradio_1p0__catwise_w1lt16p5.csv,2MRS_clean,BAO_P1,-,LoTSS_DR2,228.3229449723375,16.276069304889177,-24.197943611814708,0.7440746953254379,18.744074695325438,True,,,
protocol_d_input_pack_boehme2025_lotss_dr2_swap_tier1__zradio_1p0__catwise_w1lt16p5.csv,2MRS_clean,BAO_P1,-,NVSS,227.83563290096248,17.236802359198183,-21.68307118647749,1.1796095952431855,19.179609595243186,True,,,
protocol_d_input_pack_boehme2025_lotss_dr2_swap_tier1__zradio_1p0__catwise_w1lt16p5.csv,2MRS_clean,BAO_P1+SYS,radio,CatWISE_W1lt16p5,244.78129985199013,30.778231755500872,,0.2656639055993187,,True,264.25023604220775,38.35777749565275,0.00021686402615005385
