pack,variant,case,N,BAO_dAICc,SYS_dAICc,BAO_ang_to_CMB,SYS_g_ang_to_CMB,SYS_s_ang_to_CMB,CMB_dist_to_plane,SYS_gamma,SYS_g_l,SYS_g_b,SYS_s_l,SYS_s_b
protocol_d_input_pack_boehme2025_lotss_dr2_swap_tier1__zradio_1p0__catwise_w1lt16p5__quaiaG20p0_pmSiglt2_zbins,baseline,+low,4,-39.569446625257015,-26.17532797392327,32.08717434862129,40.071775703188386,84.1120617641662,2.0356226069309002,0.017402786326500223,230.29301540091166,18.86221834243021,20.3230813405374,28.9219347531404
protocol_d_input_pack_boehme2025_lotss_dr2_swap_tier1__zradio_1p0__catwise_w1lt16p5__quaiaG20p0_pmSiglt2_zbins,baseline,+mid,4,-32.62246616520543,-31.078948809748997,27.473675699441547,40.071775749290566,82.47974764122166,2.1654260291439584,0.020876527106886922,230.29301544636326,18.862218255940682,14.32052611476001,26.84964037134894
protocol_d_input_pack_boehme2025_lotss_dr2_swap_tier1__zradio_1p0__catwise_w1lt16p5__quaiaG20p0_pmSiglt2_zbins,baseline,+high,4,-38.4749188908471,-40.413486872411156,24.114811380066158,40.07177584733463,62.74746304126201,1.1352553597563002,0.018026366347612014,230.29301527030017,18.862218253058543,1.7737134901991407,44.40714949005924
protocol_d_input_pack_boehme2025_lotss_dr2_swap_tier1__zradio_1p0__catwise_w1lt16p5__quaiaG20p0_pmSiglt2_zbins,baseline,+low+mid,5,-34.22677772714537,-42.148924248856986,19.998114489861866,40.35177612492561,83.95468526104194,1.1579191697553597,0.01958069199423374,229.93044110220143,18.761309166647262,16.245523769501464,26.33816497128215
protocol_d_input_pack_boehme2025_lotss_dr2_swap_tier1__zradio_1p0__catwise_w1lt16p5__quaiaG20p0_pmSiglt2_zbins,baseline,+mid+high,5,-34.95765160908829,-54.127019952947286,11.968693315831203,39.71422142335338,71.62562121330271,0.4061466071912605,0.018451438778699005,230.8290197191889,18.944283222408007,8.399928175485073,36.85757196102729
protocol_d_input_pack_boehme2025_lotss_dr2_swap_tier1__zradio_1p0__catwise_w1lt16p5__quaiaG20p0_pmSiglt2_zbins,baseline,+all,6,-37.49411425153155,-61.38624460292175,6.600053928706514,40.0854870911958,73.62302306890915,0.16416083133600523,0.018026247010928073,230.42413458527292,18.758652723858365,10.113639961928603,35.41630043269549
protocol_d_input_pack_boehme2025_lotss_dr2_swap_tier1__zradio_1p0__catwise_w1lt16p5__quaiaG20p0_pmSiglt2_zbins,2MRS_clean,+low,4,-39.569446625257015,-26.17532797392327,32.08717434862129,40.071775703188386,84.1120617641662,2.0356226069309002,0.017402786326500223,230.29301540091166,18.86221834243021,20.3230813405374,28.9219347531404
protocol_d_input_pack_boehme2025_lotss_dr2_swap_tier1__zradio_1p0__catwise_w1lt16p5__quaiaG20p0_pmSiglt2_zbins,2MRS_clean,+mid,4,-32.62246616520543,-31.078948809748997,27.473675699441547,40.071775749290566,82.47974764122166,2.1654260291439584,0.020876527106886922,230.29301544636326,18.862218255940682,14.32052611476001,26.84964037134894
protocol_d_input_pack_boehme2025_lotss_dr2_swap_tier1__zradio_1p0__catwise_w1lt16p5__quaiaG20p0_pmSiglt2_zbins,2MRS_clean,+high,4,-38.4749188908471,-40.413486872411156,24.114811380066158,40.07177584733463,62.74746304126201,1.1352553597563002,0.018026366347612014,230.29301527030017,18.862218253058543,1.7737134901991407,44.40714949005924
protocol_d_input_pack_boehme2025_lotss_dr2_swap_tier1__zradio_1p0__catwise_w1lt16p5__quaiaG20p0_pmSiglt2_zbins,2MRS_clean,+low+mid,5,-34.22677772714537,-42.148924248856986,19.998114489861866,40.35177612492561,83.95468526104194,1.1579191697553597,0.01958069199423374,229.93044110220143,18.761309166647262,16.245523769501464,26.33816497128215
