pack,variant,case,N,dAICc,g_l,g_b,ang_to_CMB_deg,loo_mean_ang_deg,loo_std_ang_deg,beta
protocol_d_input_pack_boehme2025_lotss_dr2_swap_tier1__zradio_1p0__catwise_w1lt16p5__quaiaG20p0_pmSiglt2_zbins,baseline,nonQuaia_only,3,-39.20414195616492,230.2930156403969,18.862218226571425,40.07177566788232,,,0.24032319513766437
protocol_d_input_pack_boehme2025_lotss_dr2_swap_tier1__zradio_1p0__catwise_w1lt16p5__quaiaG20p0_pmSiglt2_zbins,baseline,+low,4,-39.569446625257015,234.994527542106,25.574069088565736,32.08717434862129,11.133314027604625,14.632500978851509,0.22443624462631478
protocol_d_input_pack_boehme2025_lotss_dr2_swap_tier1__zradio_1p0__catwise_w1lt16p5__quaiaG20p0_pmSiglt2_zbins,baseline,+mid,4,-32.62246616520543,239.22937468112042,28.49891775779134,27.473675699441547,16.67592883532228,22.9292946956615,0.20136240923889726
protocol_d_input_pack_boehme2025_lotss_dr2_swap_tier1__zradio_1p0__catwise_w1lt16p5__quaiaG20p0_pmSiglt2_zbins,baseline,+high,4,-38.4749188908471,240.53209752157903,31.904442917577963,24.114811380066158,15.741634906185729,20.068793087710304,0.2174693265219494
protocol_d_input_pack_boehme2025_lotss_dr2_swap_tier1__zradio_1p0__catwise_w1lt16p5__quaiaG20p0_pmSiglt2_zbins,baseline,+low+mid,5,-34.22677772714537,244.61378915742756,34.40150708391111,19.998114489861866,14.102381173322769,18.933210112583346,0.19649101064289548
protocol_d_input_pack_boehme2025_lotss_dr2_swap_tier1__zradio_1p0__catwise_w1lt16p5__quaiaG20p0_pmSiglt2_zbins,baseline,+mid+high,5,-34.95765160908829,251.47105333392162,40.304801182859094,11.968693315831203,15.801550272353953,18.36600252312944,0.1983739883831718
protocol_d_input_pack_boehme2025_lotss_dr2_swap_tier1__zradio_1p0__catwise_w1lt16p5__quaiaG20p0_pmSiglt2_zbins,baseline,+all,6,-37.49411425153155,256.61192671633466,44.09302530158067,6.600053928706514,12.746772573781683,15.020201755280922,0.19939119164773125
protocol_d_input_pack_boehme2025_lotss_dr2_swap_tier1__zradio_1p0__catwise_w1lt16p5__quaiaG20p0_pmSiglt2_zbins,baseline,Quaia_only_all3,3,-18.77337958876728,342.80676880593194,51.16142972996293,48.520571963204695,,,0.437816988866529
protocol_d_input_pack_boehme2025_lotss_dr2_swap_tier1__zradio_1p0__catwise_w1lt16p5__quaiaG20p0_pmSiglt2_zbins,2MRS_clean,nonQuaia_only,3,-39.20414195616492,230.2930156403969,18.862218226571425,40.07177566788232,,,0.24032319513766437
protocol_d_input_pack_boehme2025_lotss_dr2_swap_tier1__zradio_1p0__catwise_w1lt16p5__quaiaG20p0_pmSiglt2_zbins,2MRS_clean,+low,4,-39.569446625257015,234.994527542106,25.574069088565736,32.08717434862129,11.133314027604625,14.632500978851509,0.22443624462631478
