pack,variant,obs_name,is_quaia,group,source,bmin,mag_num,pm_sig_max,pm_tot_max,pm_is_none,z_mean,proj1_meas,proj2_meas,amp1_pred,amp2_pred
boehme,baseline,CatWISE_W1lt16p5,0,nonquaia,pack,,,,,0,1.2,0.0008527745318652384,-0.0009663734830132153,-0.0,0.0
boehme,baseline,LoTSS_DR2,0,nonquaia,pack,,,,,0,1.0,-0.006978713097642877,0.0010383390652774682,-0.0,0.0
boehme,baseline,NVSS,0,nonquaia,pack,,,,,0,1.0,-0.0018710462636391451,0.0018815439671448389,-0.0,0.0
boehme,baseline,Quaia_G<20.0_pmSig_lt2_0p6_1p0,1,quaia_bin,pack,,,,,0,0.8180457891365732,-0.01727395564545313,0.0002551985441867771,-0.01970198295878005,0.0007449290299624392
boehme,baseline,Quaia_G<20.0_pmSig_lt2_1p0_1p5,1,quaia_bin,pack,,,,,0,1.2593244815869629,-0.020409294031911603,0.0019142074301665918,-0.01876636091218812,0.0020144854079371605
boehme,baseline,Quaia_G<20.0_pmSig_lt2_1p5_3p0,1,quaia_bin,pack,,,,,0,2.063375928734873,-0.01697344830701034,0.005932424584567602,-0.017061569193448357,0.004327737011539561
boehme,baseline,Quaia_maskscan_G20.0_bmin20,1,quaia_maskscan,maskscan,20.0,,,,0,1.5216184854507446,-0.0207479342120164,0.007146335329856065,-0.02259490978033374,0.004733798529216102
boehme,baseline,Quaia_maskscan_G20.0_bmin25,1,quaia_maskscan,maskscan,25.0,,,,0,1.525849223136902,-0.018149232202923807,0.004995103970822606,-0.020393600418059248,0.0037636229829748438
boehme,baseline,Quaia_maskscan_G20.0_bmin30,1,quaia_maskscan,maskscan,30.0,,,,0,1.529037594795227,-0.014314497921315375,0.0035970380115618434,-0.018194501134478666,0.0027904485553883955
boehme,baseline,Quaia_maskscan_G20.0_bmin35,1,quaia_maskscan,maskscan,35.0,,,,0,1.531247854232788,-0.012924078612875468,0.0016466450135731664,-0.015997475695326654,0.0018144601043072928
boehme,baseline,Quaia_maskscan_G20.5_bmin20,1,quaia_maskscan,maskscan,20.0,,,,0,1.5471723079681396,-0.02619302904012399,0.0033000937969473107,-0.02254072923608582,0.00480731673644801
boehme,baseline,Quaia_maskscan_G20.5_bmin25,1,quaia_maskscan,maskscan,25.0,,,,0,1.5523033142089844,-0.02262870244827833,0.0015359251329301448,-0.020337511077574328,0.003839731257901039
boehme,baseline,Quaia_maskscan_G20.5_bmin30,1,quaia_maskscan,maskscan,30.0,,,,0,1.55604088306427,-0.01993033873564945,2.4685784439811703e-05,-0.01813724735751812,0.0028681368676381595
boehme,baseline,Quaia_maskscan_G20.5_bmin35,1,quaia_maskscan,maskscan,35.0,,,,0,1.5588762760162354,-0.018298779172799207,-0.0007855057116299101,-0.015938896477758747,0.0018939469222494362
boehme,baseline,Quaia_pmcut_G20.0_bmin30_pm_tot<1&pm_sig<2,1,quaia_pmcut,quaia_pmcut,30.0,20.0,2.0,1.0,0,1.529037594795227,-0.01744584975141485,0.003157683332424691,-0.015764544304243715,0.0030705434051103973
boehme,baseline,Quaia_pmcut_G20.0_bmin30_pm_sig<2,1,quaia_pmcut,quaia_pmcut,30.0,20.0,2.0,,0,1.529037594795227,-0.017816763856845347,0.004010850855707923,-0.015817858579406693,0.002751762841222651
boehme,baseline,Quaia_pmcut_G20.0_bmin30_pm_tot<0.5,1,quaia_pmcut,quaia_pmcut,30.0,20.0,,0.5,0,1.529037594795227,-0.014316123078561942,-0.00138173980689395,-0.015473613992204668,0.0013812277386770825
boehme,baseline,Quaia_pmcut_G20.0_bmin30_pm_sig<3,1,quaia_pmcut,quaia_pmcut,30.0,20.0,3.0,,0,1.529037594795227,-0.013849300967953972,0.0037762422605052597,-0.01597665230421696,0.003516725533467372
boehme,baseline,Quaia_pmcut_G20.0_bmin30_pm_tot<1,1,quaia_pmcut,quaia_pmcut,30.0,20.0,,1.0,0,1.529037594795227,-0.012933503975119536,0.002093620908786414,-0.015446956854623177,0.0015406180206209558
boehme,baseline,Quaia_pmcut_G20.0_bmin30_none,1,quaia_pmcut,quaia_pmcut,30.0,20.0,,,1,1.529037594795227,-0.012523581634155437,0.004247179207644037,-0.012487575439803233,0.0044368546783891466
boehme,baseline,Quaia_pmcut_G20.5_bmin30_pm_tot<0.5,1,quaia_pmcut,quaia_pmcut,30.0,20.5,,0.5,0,1.55604088306427,-0.01983434830157407,-0.003911677557921618,-0.020270504317699466,-0.0032285398257921724
boehme,baseline,Quaia_pmcut_G20.5_bmin30_pm_sig<2,1,quaia_pmcut,quaia_pmcut,30.0,20.5,2.0,,0,1.55604088306427,-0.02228500883825575,-0.0009008166536211091,-0.02061474890490149,-0.0018580047232466038
boehme,baseline,Quaia_pmcut_G20.5_bmin30_pm_tot<1&pm_sig<2,1,quaia_pmcut,quaia_pmcut,30.0,20.5,2.0,1.0,0,1.55604088306427,-0.021678726884106242,-0.0010131969444050516,-0.020561434629738515,-0.0015392241593588573
boehme,baseline,Quaia_pmcut_G20.5_bmin30_pm_sig<3,1,quaia_pmcut,quaia_pmcut,30.0,20.5,3.0,,0,1.55604088306427,-0.019037789238883898,-0.0008343259409997975,-0.020773542629711757,-0.0010930420310018832
boehme,baseline,Quaia_pmcut_G20.5_bmin30_pm_tot<1&pm_sig<3,1,quaia_pmcut,quaia_pmcut,30.0,20.5,3.0,1.0,0,1.55604088306427,-0.01903887362018576,-0.0014113483752455419,-0.020720228354548783,-0.0007742614671141367
boehme,baseline,Quaia_pmcut_G20.5_bmin30_none,1,quaia_pmcut,quaia_pmcut,30.0,20.5,,,1,1.55604088306427,-0.017362312680223695,0.00018052192232378798,-0.01728446576529803,-0.00017291288608010805
boehme,baseline,Quaia_pmcut_G20.5_bmin30_pm_tot<1,1,quaia_pmcut,quaia_pmcut,30.0,20.5,,1.0,0,1.55604088306427,-0.018571887507158744,-0.0015673626006616672,-0.02024384718011798,-0.003069149543848299
boehme,baseline,Quaia_G20.5_pmSiglt2_z0p6p1p0,1,quaia_zbin_G20.5,quaia_zbin_G20.5,30.0,20.5,2.0,,0,0.8184481912564778,-0.027031272916074107,0.00072874140780981,-0.024872861316941473,-0.002411443753575158
boehme,baseline,Quaia_G20.5_pmSiglt2_z1p0p1p5,1,quaia_zbin_G20.5,quaia_zbin_G20.5,30.0,20.5,2.0,,0,1.2607082545033923,-0.02012615722211271,-0.0031353073324414983,-0.023935158516919068,-0.0011390639772011896
boehme,baseline,Quaia_G20.5_pmSiglt2_z1p5p3p0,1,quaia_zbin_G20.5,quaia_zbin_G20.5,30.0,20.5,2.0,,0,2.057584213322741,-0.022392987880550566,-0.000889379870971767,-0.02224558064192505,0.0011535437858341006
boehme,2MRS_clean,CatWISE_W1lt16p5,0,nonquaia,pack,,,,,0,1.2,0.0008629073037339931,-0.0009773722614827146,-0.0,0.0
boehme,2MRS_clean,LoTSS_DR2,0,nonquaia,pack,,,,,0,1.0,-0.00695721130092906,0.0010632609893194008,-0.0,0.0
boehme,2MRS_clean,NVSS,0,nonquaia,pack,,,,,0,1.0,-0.0018439627537486813,0.0018847900271455834,-0.0,0.0
boehme,2MRS_clean,Quaia_G<20.0_pmSig_lt2_0p6_1p0,1,quaia_bin,pack,,,,,0,0.8180457891365732,-0.017256552295336743,0.00032187246445462923,-0.01969860080774108,0.0007833410758072138
boehme,2MRS_clean,Quaia_G<20.0_pmSig_lt2_1p0_1p5,1,quaia_bin,pack,,,,,0,1.2593244815869629,-0.020392708218205415,0.0019886611089051567,-0.01874932017438903,0.0020611386650766575
boehme,2MRS_clean,Quaia_G<20.0_pmSig_lt2_1p5_3p0,1,quaia_bin,pack,,,,,0,2.063375928734873,-0.016930098446911915,0.006019988168217736,-0.01701964122080572,0.0043894065338673394
boehme,2MRS_clean,Quaia_maskscan_G20.0_bmin20,1,quaia_maskscan,maskscan,20.0,,,,0,1.5216184854507446,-0.020704246714736963,0.007230291560242362,-0.02259204899314532,0.004831532327771842
boehme,2MRS_clean,Quaia_maskscan_G20.0_bmin25,1,quaia_maskscan,maskscan,25.0,,,,0,1.525849223136902,-0.018113195090191915,0.005074743239924469,-0.020379459404294368,0.003838344791874509
boehme,2MRS_clean,Quaia_maskscan_G20.0_bmin30,1,quaia_maskscan,maskscan,30.0,,,,0,1.529037594795227,-0.014280677584241487,0.0036707343079500094,-0.018169112157754557,0.00284213890766286
boehme,2MRS_clean,Quaia_maskscan_G20.0_bmin35,1,quaia_maskscan,maskscan,35.0,,,,0,1.531247854232788,-0.012893789584446806,0.001730491973616475,-0.015960869030457982,0.0018431007329755783
boehme,2MRS_clean,Quaia_maskscan_G20.5_bmin20,1,quaia_maskscan,maskscan,20.0,,,,0,1.5471723079681396,-0.026174450485448947,0.003395581041514051,-0.02253707749953166,0.004905527771848304
boehme,2MRS_clean,Quaia_maskscan_G20.5_bmin25,1,quaia_maskscan,maskscan,25.0,,,,0,1.5523033142089844,-0.02261273315541778,0.0016307766837903364,-0.0203225512490689,0.003914947116837256
boehme,2MRS_clean,Quaia_maskscan_G20.5_bmin30,1,quaia_maskscan,maskscan,30.0,,,,0,1.55604088306427,-0.019915661213687878,0.00012332062996588556,-0.01811102256714169,0.0029203315266196662
boehme,2MRS_clean,Quaia_maskscan_G20.5_bmin35,1,quaia_maskscan,maskscan,35.0,,,,0,1.5588762760162354,-0.01827944239471061,-0.0006711413583781996,-0.015901434649922927,0.001923103532463064
boehme,2MRS_clean,Quaia_pmcut_G20.0_bmin30_pm_tot<1&pm_sig<2,1,quaia_pmcut,quaia_pmcut,30.0,20.0,2.0,1.0,0,1.529037594795227,-0.017419327499489448,0.0032330283795098716,-0.015729272474510232,0.0031939695465193823
boehme,2MRS_clean,Quaia_pmcut_G20.0_bmin30_pm_sig<2,1,quaia_pmcut,quaia_pmcut,30.0,20.0,2.0,,0,1.529037594795227,-0.01778482614195787,0.00409115722788332,-0.015798583511521063,0.0028112169741842307
boehme,2MRS_clean,Quaia_pmcut_G20.0_bmin30_pm_tot<0.5,1,quaia_pmcut,quaia_pmcut,30.0,20.0,,0.5,0,1.529037594795227,-0.014310177781480065,-0.0013160566269869792,-0.015446617385504171,0.001459837142804692
boehme,2MRS_clean,Quaia_pmcut_G20.0_bmin30_pm_sig<3,1,quaia_pmcut,quaia_pmcut,30.0,20.0,3.0,,0,1.529037594795227,-0.013815483193516795,0.0038451699053507573,-0.0159572388152768,0.0035825950329577876
boehme,2MRS_clean,Quaia_pmcut_G20.0_bmin30_pm_tot<1,1,quaia_pmcut,quaia_pmcut,30.0,20.0,,1.0,0,1.529037594795227,-0.012906954109423377,0.0021611620096452207,-0.015411961866998758,0.0016512134289722678
boehme,2MRS_clean,Quaia_pmcut_G20.0_bmin30_none,1,quaia_pmcut,quaia_pmcut,30.0,20.0,,,1,1.529037594795227,-0.012488105393723192,0.0043076071894169255,-0.012465480736094008,0.004496567678327498
boehme,2MRS_clean,Quaia_pmcut_G20.5_bmin30_pm_tot<0.5,1,quaia_pmcut,quaia_pmcut,30.0,20.5,,0.5,0,1.55604088306427,-0.01983750467246135,-0.0038083847225549843,-0.020263139915777842,-0.003147622933759694
boehme,2MRS_clean,Quaia_pmcut_G20.5_bmin30_pm_sig<2,1,quaia_pmcut,quaia_pmcut,30.0,20.5,2.0,,0,1.55604088306427,-0.02227902552468791,-0.000801557818816444,-0.020615106041794732,-0.0017962431023801552
