pack,boehme_base,boehme_base,boehme_zbins_G20p0_pmSig2,boehme_zbins_G20p0_pmSig2,wagen_base,wagen_base,wagen_zbins_G20p0_pmSig2,wagen_zbins_G20p0_pmSig2
variant,2MRS_clean,baseline,2MRS_clean,baseline,2MRS_clean,baseline,2MRS_clean,baseline
scenario,,,,,,,,
no_quaia,40.162634563400516,40.162634563400516,,,22.477825442383633,22.33141849808993,,
quaia_std_G20p5_b20_selcorr,30.33770571407166,30.33770571407166,,,30.616786124911368,29.159055345735457,,
quaia_b30_debias,20.413516535016,20.413516535016,,,11.12767491569152,10.783909543379359,,
quaia_conservative_sys,14.339860417731071,14.339860417731071,,,4.498822807970737,4.926859458295252,,
quaia_maskscan_bmin20,13.508918575909004,13.508918575909004,,,3.93877510962309,4.330974621635906,,
quaia_maskscan_bmin25,16.8615697011677,16.8615697011677,,,7.627033129536595,7.594498866763928,,
quaia_maskscan_bmin30,20.409947457081977,20.409947457081977,,,11.126030852412697,10.782110204026528,,
quaia_conservative_sys_sigma90,29.992730483804724,29.992730483804724,,,15.249754966771654,15.445074239426129,,
quaia_maskscan_bmin30_sigma90,29.907602985818254,29.907602985818254,,,16.316775494202926,16.23104885937117,,
zbins_default,,,6.196080022456993,6.196080022456993,,,4.647942974593001,3.001663901346501
zbins_sigma90,,,18.803937838143142,18.803937838143142,,,9.001567593389467,9.328889445303883
