pack,boehme_base,boehme_base,boehme_zbins_G20p0_pmSig2,boehme_zbins_G20p0_pmSig2,wagen_base,wagen_base,wagen_zbins_G20p0_pmSig2,wagen_zbins_G20p0_pmSig2
variant,2MRS_clean,baseline,2MRS_clean,baseline,2MRS_clean,baseline,2MRS_clean,baseline
scenario,,,,,,,,
no_quaia,-38.26786548237406,-38.26786548237406,,,-34.26160918120687,-41.83432522788392,,
quaia_std_G20p5_b20_selcorr,-111.7453394990213,-111.7453394990213,,,-113.51604437369497,-122.0161723186568,,
quaia_b30_debias,-45.72056967132161,-45.72056967132161,,,-46.40278549980164,-54.26564555240208,,
quaia_conservative_sys,-43.807624699786345,-43.807624699786345,,,-45.335305166696294,-53.25636599045986,,
quaia_maskscan_bmin20,-44.50047734206488,-44.50047734206488,,,-46.12570713784493,-54.08416307215289,,
quaia_maskscan_bmin25,-44.9132422833316,-44.9132422833316,,,-46.08490052621565,-53.99350322655951,,
quaia_maskscan_bmin30,-45.72344600871192,-45.72344600871192,,,-46.4062383800759,-54.26922654089006,,
quaia_conservative_sys_sigma90,-40.15190143414746,-40.15190143414746,,,-38.73135880858182,-46.441608924556796,,
quaia_maskscan_bmin30_sigma90,-42.63332673725881,-42.63332673725881,,,-41.188829213232786,-48.965825568630805,,
zbins_default,,,-36.91269431087952,-36.91269431087952,,,-40.92799438536846,-47.7711070382691
zbins_sigma90,,,-50.89482319334834,-50.89482319334834,,,-51.384554911127104,-59.425100859111375
