pack,variant,scenario,N,dAICc,g_l,g_b,ang_to_CMB,beta,loo_mean_ang,loo_std_ang
boehme_base,baseline,no_quaia,3,-38.26786548237406,230.14397456284183,18.850270972651682,40.162634563400516,0.2399689741847441,,
boehme_base,baseline,quaia_std_G20p5_b20_selcorr,4,-111.7453394990213,311.8482316930183,51.95632825471944,30.33770571407166,0.33273113125315945,24.97532006187908,32.012349142893726
boehme_base,baseline,quaia_b30_debias,4,-45.72056967132161,240.5116962990044,37.142129707396435,20.413516535016,0.2384598440842208,15.820373599055031,18.437435585934658
boehme_base,baseline,quaia_conservative_sys,4,-43.807624699786345,251.18609085687828,37.38456962570468,14.339860417731071,0.2358740826016451,18.44760911442611,21.03032641809126
boehme_base,baseline,quaia_maskscan_bmin20,4,-44.50047734206488,252.0185523376489,37.93053263841261,13.508918575909004,0.23714967250302965,18.772589343399822,21.27265446380665
boehme_base,baseline,quaia_maskscan_bmin25,4,-44.9132422833316,246.10385710339187,37.551923997634816,16.8615697011677,0.23702874047589212,17.208801150591906,19.93091565378855
boehme_base,baseline,quaia_maskscan_bmin30,4,-45.72344600871192,240.51402867833042,37.145451924297355,20.409947457081977,0.23846456238715563,15.821258161326899,18.437586556518138
boehme_base,baseline,quaia_std_G20p5_b20_selcorr_sigma90,4,-40.260355645165504,238.01213390351006,26.971154947138785,29.342250442065783,0.23343926510838225,12.996545757013925,17.59901962840188
boehme_base,baseline,quaia_b30_debias_sigma90,4,-42.63314053447642,235.01546997931297,28.358277315508325,29.908017949305236,0.23854565448718307,11.94597706961266,15.405695785846493
boehme_base,baseline,quaia_conservative_sys_sigma90,4,-40.15190143414746,237.51522469157965,26.490387430761253,29.992730483804724,0.23348257565855624,12.710665801250626,17.268081004158812
boehme_base,baseline,quaia_maskscan_bmin20_sigma90,4,-40.402223666181655,237.9984721871763,26.956071283943945,29.361619464925795,0.23379846067624493,13.065694302759153,17.741325880031937
boehme_base,baseline,quaia_maskscan_bmin25_sigma90,4,-41.483628057986444,236.92011563408138,27.87123397924946,29.2181577814801,0.23595160446043428,12.608755914253631,16.712583403352262
boehme_base,baseline,quaia_maskscan_bmin30_sigma90,4,-42.63332673725881,235.01568253616352,28.358662917150912,29.907602985818254,0.23854584658676617,11.946146516795705,15.405855054212106
boehme_base,2MRS_clean,no_quaia,3,-38.26786548237406,230.14397456284183,18.850270972651682,40.162634563400516,0.2399689741847441,,
boehme_base,2MRS_clean,quaia_std_G20p5_b20_selcorr,4,-111.7453394990213,311.8482316930183,51.95632825471944,30.33770571407166,0.33273113125315945,24.97532006187908,32.012349142893726
boehme_base,2MRS_clean,quaia_b30_debias,4,-45.72056967132161,240.5116962990044,37.142129707396435,20.413516535016,0.2384598440842208,15.820373599055031,18.437435585934658
boehme_base,2MRS_clean,quaia_conservative_sys,4,-43.807624699786345,251.18609085687828,37.38456962570468,14.339860417731071,0.2358740826016451,18.44760911442611,21.03032641809126
boehme_base,2MRS_clean,quaia_maskscan_bmin20,4,-44.50047734206488,252.0185523376489,37.93053263841261,13.508918575909004,0.23714967250302965,18.772589343399822,21.27265446380665
boehme_base,2MRS_clean,quaia_maskscan_bmin25,4,-44.9132422833316,246.10385710339187,37.551923997634816,16.8615697011677,0.23702874047589212,17.208801150591906,19.93091565378855
boehme_base,2MRS_clean,quaia_maskscan_bmin30,4,-45.72344600871192,240.51402867833042,37.145451924297355,20.409947457081977,0.23846456238715563,15.821258161326899,18.437586556518138
boehme_base,2MRS_clean,quaia_std_G20p5_b20_selcorr_sigma90,4,-40.260355645165504,238.01213390351006,26.971154947138785,29.342250442065783,0.23343926510838225,12.996545757013925,17.59901962840188
boehme_base,2MRS_clean,quaia_b30_debias_sigma90,4,-42.63314053447642,235.01546997931297,28.358277315508325,29.908017949305236,0.23854565448718307,11.94597706961266,15.405695785846493
boehme_base,2MRS_clean,quaia_conservative_sys_sigma90,4,-40.15190143414746,237.51522469157965,26.490387430761253,29.992730483804724,0.23348257565855624,12.710665801250626,17.268081004158812
boehme_base,2MRS_clean,quaia_maskscan_bmin20_sigma90,4,-40.402223666181655,237.9984721871763,26.956071283943945,29.361619464925795,0.23379846067624493,13.065694302759153,17.741325880031937
boehme_base,2MRS_clean,quaia_maskscan_bmin25_sigma90,4,-41.483628057986444,236.92011563408138,27.87123397924946,29.2181577814801,0.23595160446043428,12.608755914253631,16.712583403352262
boehme_base,2MRS_clean,quaia_maskscan_bmin30_sigma90,4,-42.63332673725881,235.01568253616352,28.358662917150912,29.907602985818254,0.23854584658676617,11.946146516795705,15.405855054212106
wagen_base,baseline,no_quaia,3,-41.83432522788392,239.16529095857248,35.47397515697885,22.33141849808993,0.21927533947919403,,
wagen_base,baseline,quaia_std_G20p5_b20_selcorr,4,-122.0161723186568,310.398201869457,53.71655657656662,29.159055345735457,0.31019055145932883,20.100364092584602,22.821552254939792
wagen_base,baseline,quaia_b30_debias,4,-54.26564555240208,248.29601619975708,46.45523398805321,10.783909543379359,0.23188066536780144,14.253317830295929,11.258001476203027
wagen_base,baseline,quaia_conservative_sys,4,-53.25636599045986,257.43283564089916,46.18581164241767,4.926859458295252,0.2318736953299188,15.760001139487212,12.240694562419364
wagen_base,baseline,quaia_maskscan_bmin20,4,-54.08416307215289,258.19041386075594,46.47182584491689,4.330974621635906,0.23330376058497165,15.848072480877146,12.281666348673825
wagen_base,baseline,quaia_maskscan_bmin25,4,-53.99350322655951,253.1107167157392,46.47215544387575,7.594498866763928,0.23206878859733424,14.957376855124293,11.725313398579267
wagen_base,baseline,quaia_maskscan_bmin30,4,-54.26922654089006,248.29797523191684,46.45711817373983,10.782110204026528,0.23188589082889755,14.25338594232699,11.257724242140746
wagen_base,baseline,quaia_std_G20p5_b20_selcorr_sigma90,4,-46.701266733171096,246.11521800088724,40.318055050818316,15.020074756065647,0.22278545043325526,14.051449058190316,12.650668407604021
wagen_base,baseline,quaia_b30_debias_sigma90,4,-48.96553988835524,243.41719787676033,41.10682814076401,16.231284317130367,0.2264074305184816,13.320765540530529,11.982944585316327
wagen_base,baseline,quaia_conservative_sys_sigma90,4,-46.441608924556796,245.68770108730183,40.04579204994816,15.445074239426129,0.2223942848335382,13.981827934646413,12.724773080449605
wagen_base,baseline,quaia_maskscan_bmin20_sigma90,4,-46.838074536142095,246.1347031889024,40.316427332681755,15.009339373666519,0.22310581494156762,14.066153354775226,12.665117850905062
wagen_base,baseline,quaia_maskscan_bmin25_sigma90,4,-47.95517461284485,245.10801216980852,40.81668149819723,15.337603660733487,0.22484575009512917,13.69661168734692,12.28846591674841
wagen_base,baseline,quaia_maskscan_bmin30_sigma90,4,-48.965825568630805,243.41737994585648,41.10704906755541,16.23104885937117,0.22640785257121648,13.320785838092661,11.9828736195828
