pack,variant,obs_name,group,source,bmin,magcut,z_mean,proj_residual_on_s,amp_pred,t_quaia
boehme,baseline,CatWISE_W1lt16p5,nonquaia,pack,,,1.2,-0.0010887182847651668,0.0,0.0
boehme,baseline,LoTSS_DR2,nonquaia,pack,,,1.0,0.00697713156033735,0.0,0.0
boehme,baseline,NVSS,nonquaia,pack,,,1.0,0.0020904773895429763,0.0,0.0
boehme,baseline,Quaia_G<20.0_pmSig_lt2_0p6_1p0,quaia_bin,pack,,G20.0,0.8180457891365732,0.01698558123607816,0.017484990780843007,1.0
boehme,baseline,Quaia_G<20.0_pmSig_lt2_1p0_1p5,quaia_bin,pack,,G20.0,1.2593244815869629,0.020460099428831556,0.017484990780843007,1.0
boehme,baseline,Quaia_G<20.0_pmSig_lt2_1p5_3p0,quaia_bin,pack,,G20.0,2.063375928734873,0.01766611097633001,0.017484990780843007,1.0
boehme,baseline,Quaia_maskscan_G20.0_bmin20,quaia_maskscan,maskscan,20.0,G20.0,1.5216184854507446,0.02171883090438299,0.022153581585073596,1.0
boehme,baseline,Quaia_maskscan_G20.0_bmin25,quaia_maskscan,maskscan,25.0,G20.0,1.525849223136902,0.018717711586988768,0.0198192861829583,1.0
boehme,baseline,Quaia_maskscan_G20.0_bmin30,quaia_maskscan,maskscan,30.0,G20.0,1.529037594795227,0.014612672110721129,0.017484990780843007,1.0
boehme,baseline,Quaia_maskscan_G20.0_bmin35,quaia_maskscan,maskscan,35.0,G20.0,1.531247854232788,0.012783750433347145,0.015150695378727713,1.0
boehme,baseline,Quaia_maskscan_G20.5_bmin20,quaia_maskscan,maskscan,20.0,G20.5,1.5471723079681396,0.026458958653269533,0.024698073977464624,1.0
boehme,baseline,Quaia_maskscan_G20.5_bmin25,quaia_maskscan,maskscan,25.0,G20.5,1.5523033142089844,0.022528162436412306,0.022363778575349328,1.0
boehme,baseline,Quaia_maskscan_G20.5_bmin30,quaia_maskscan,maskscan,30.0,G20.5,1.55604088306427,0.0194939541955054,0.020029483173234035,1.0
boehme,baseline,Quaia_maskscan_G20.5_bmin35,quaia_maskscan,maskscan,35.0,G20.5,1.5588762760162354,0.01759598941322921,0.017695187771118743,1.0
boehme,2MRS_clean,CatWISE_W1lt16p5,nonquaia,pack,,,1.2,-0.0011039739482245528,0.0,0.0
boehme,2MRS_clean,LoTSS_DR2,nonquaia,pack,,,1.0,0.006959699043783836,0.0,0.0
boehme,2MRS_clean,NVSS,nonquaia,pack,,,1.0,0.0020720305574343967,0.0,0.0
boehme,2MRS_clean,Quaia_G<20.0_pmSig_lt2_0p6_1p0,quaia_bin,pack,,G20.0,0.8180457891365732,0.01696713954028339,0.017485860749236252,1.0
boehme,2MRS_clean,Quaia_G<20.0_pmSig_lt2_1p0_1p5,quaia_bin,pack,,G20.0,1.2593244815869629,0.02044861725264287,0.017485860749236252,1.0
boehme,2MRS_clean,Quaia_G<20.0_pmSig_lt2_1p5_3p0,quaia_bin,pack,,G20.0,2.063375928734873,0.01765235956912855,0.017485860749236252,1.0
boehme,2MRS_clean,Quaia_maskscan_G20.0_bmin20,quaia_maskscan,maskscan,20.0,G20.0,1.5216184854507446,0.021706381426987602,0.022197547971347577,1.0
boehme,2MRS_clean,Quaia_maskscan_G20.0_bmin25,quaia_maskscan,maskscan,25.0,G20.0,1.525849223136902,0.018704337706896997,0.019841704360291916,1.0
boehme,2MRS_clean,Quaia_maskscan_G20.0_bmin30,quaia_maskscan,maskscan,30.0,G20.0,1.529037594795227,0.014597334075172998,0.017485860749236252,1.0
boehme,2MRS_clean,Quaia_maskscan_G20.0_bmin35,quaia_maskscan,maskscan,35.0,G20.0,1.531247854232788,0.012765972798210927,0.01513001713818059,1.0
boehme,2MRS_clean,Quaia_maskscan_G20.5_bmin20,quaia_maskscan,maskscan,20.0,G20.5,1.5471723079681396,0.026450599801832984,0.02468917409237527,1.0
boehme,2MRS_clean,Quaia_maskscan_G20.5_bmin25,quaia_maskscan,maskscan,25.0,G20.5,1.5523033142089844,0.022517270068499372,0.022333330481319608,1.0
boehme,2MRS_clean,Quaia_maskscan_G20.5_bmin30,quaia_maskscan,maskscan,30.0,G20.5,1.55604088306427,0.019480449379438724,0.019977486870263947,1.0
boehme,2MRS_clean,Quaia_maskscan_G20.5_bmin35,quaia_maskscan,maskscan,35.0,G20.5,1.5588762760162354,0.017578534473757332,0.017621643259208283,1.0
wagenveld,baseline,NVSS,nonquaia,pack,,,1.0,-0.0002006073446399197,0.0,0.0
wagenveld,baseline,RACS_low,nonquaia,pack,,,1.0,0.008715866778610172,0.0,0.0
wagenveld,baseline,CatWISE_W1lt16p5,nonquaia,pack,,,1.2,-0.0038784473931644794,0.0,0.0
wagenveld,baseline,Quaia_G<20.0_pmSig_lt2_0p6_1p0,quaia_bin,pack,,G20.0,0.8180457891365732,0.01326486975239864,0.015072734838072947,1.0
wagenveld,baseline,Quaia_G<20.0_pmSig_lt2_1p0_1p5,quaia_bin,pack,,G20.0,1.2593244815869629,0.017791576839619423,0.015072734838072947,1.0
wagenveld,baseline,Quaia_G<20.0_pmSig_lt2_1p5_3p0,quaia_bin,pack,,G20.0,2.063375928734873,0.01569339299298658,0.015072734838072947,1.0
wagenveld,baseline,Quaia_maskscan_G20.0_bmin20,quaia_maskscan,maskscan,20.0,G20.0,1.5216184854507446,0.019440657890329834,0.019841196318428407,1.0
wagenveld,baseline,Quaia_maskscan_G20.0_bmin25,quaia_maskscan,maskscan,25.0,G20.0,1.525849223136902,0.016381681695048434,0.017456965578250674,1.0
wagenveld,baseline,Quaia_maskscan_G20.0_bmin30,quaia_maskscan,maskscan,30.0,G20.0,1.529037594795227,0.012222232028273966,0.015072734838072947,1.0
wagenveld,baseline,Quaia_maskscan_G20.0_bmin35,quaia_maskscan,maskscan,35.0,G20.0,1.531247854232788,0.010300836002063512,0.012688504097895218,1.0
wagenveld,baseline,Quaia_maskscan_G20.5_bmin20,quaia_maskscan,maskscan,20.0,G20.5,1.5471723079681396,0.024159387301137647,0.022351165306325704,1.0
wagenveld,baseline,Quaia_maskscan_G20.5_bmin25,quaia_maskscan,maskscan,25.0,G20.5,1.5523033142089844,0.02015287150429677,0.01996693456614797,1.0
wagenveld,baseline,Quaia_maskscan_G20.5_bmin30,quaia_maskscan,maskscan,30.0,G20.5,1.55604088306427,0.017042108798245637,0.017582703825970245,1.0
wagenveld,baseline,Quaia_maskscan_G20.5_bmin35,quaia_maskscan,maskscan,35.0,G20.5,1.5588762760162354,0.015051438576845013,0.015198473085792516,1.0
wagenveld,2MRS_clean,NVSS,nonquaia,pack,,,1.0,-0.00023573360521374323,0.0,0.0
wagenveld,2MRS_clean,RACS_low,nonquaia,pack,,,1.0,0.008389579403980505,0.0,0.0
wagenveld,2MRS_clean,CatWISE_W1lt16p5,nonquaia,pack,,,1.2,-0.004061482265631474,0.0,0.0
wagenveld,2MRS_clean,Quaia_G<20.0_pmSig_lt2_0p6_1p0,quaia_bin,pack,,G20.0,0.8180457891365732,0.012921599171634568,0.01491023936095404,1.0
wagenveld,2MRS_clean,Quaia_G<20.0_pmSig_lt2_1p0_1p5,quaia_bin,pack,,G20.0,1.2593244815869629,0.017516168466201975,0.01491023936095404,1.0
wagenveld,2MRS_clean,Quaia_G<20.0_pmSig_lt2_1p5_3p0,quaia_bin,pack,,G20.0,2.063375928734873,0.01567767216602405,0.01491023936095404,1.0
wagenveld,2MRS_clean,Quaia_maskscan_G20.0_bmin20,quaia_maskscan,maskscan,20.0,G20.0,1.5216184854507446,0.01937113937161107,0.019580204504682258,1.0
wagenveld,2MRS_clean,Quaia_maskscan_G20.0_bmin25,quaia_maskscan,maskscan,25.0,G20.0,1.525849223136902,0.016276982354905434,0.01724522193281815,1.0
wagenveld,2MRS_clean,Quaia_maskscan_G20.0_bmin30,quaia_maskscan,maskscan,30.0,G20.0,1.529037594795227,0.012125969330731385,0.01491023936095404,1.0
wagenveld,2MRS_clean,Quaia_maskscan_G20.0_bmin35,quaia_maskscan,maskscan,35.0,G20.0,1.531247854232788,0.010185582996593188,0.01257525678908993,1.0
wagenveld,2MRS_clean,Quaia_maskscan_G20.5_bmin20,quaia_maskscan,maskscan,20.0,G20.5,1.5471723079681396,0.02389037134594465,0.02207212249943198,1.0
wagenveld,2MRS_clean,Quaia_maskscan_G20.5_bmin25,quaia_maskscan,maskscan,25.0,G20.5,1.5523033142089844,0.01988666546761665,0.01973713992756787,1.0
wagenveld,2MRS_clean,Quaia_maskscan_G20.5_bmin30,quaia_maskscan,maskscan,30.0,G20.5,1.55604088306427,0.016781250393765317,0.01740215735570376,1.0
wagenveld,2MRS_clean,Quaia_maskscan_G20.5_bmin35,quaia_maskscan,maskscan,35.0,G20.5,1.5588762760162354,0.014826068231709616,0.015067174783839652,1.0
