pack,variant,obs_name,is_quaia,group,source,bmin,mag_num,pm_sig_max,pm_tot_max,pm_is_none,z_mean,w_bao,proj_residual_on_s,amp_pred
boehme,baseline,CatWISE_W1lt16p5,0,nonquaia,pack,,,,,0,1.2,0.03906009838169246,-0.0008957553476166927,0.0
boehme,baseline,LoTSS_DR2,0,nonquaia,pack,,,,,0,1.0,0.04449383069146858,0.0070623632835722806,0.0
boehme,baseline,NVSS,0,nonquaia,pack,,,,,0,1.0,0.04449383069146858,0.002021557487778922,0.0
boehme,baseline,Quaia_G<20.0_pmSig_lt2_0p6_1p0,1,quaia_bin,pack,,,,,0,0.8180457891365732,0.05181921011829311,0.017291851648856636,0.020304510906477467
boehme,baseline,Quaia_G<20.0_pmSig_lt2_1p0_1p5,1,quaia_bin,pack,,,,,0,1.2593244815869629,0.037788479366085766,0.02053952040426187,0.01930913387625287
boehme,baseline,Quaia_G<20.0_pmSig_lt2_1p5_3p0,1,quaia_bin,pack,,,,,0,2.063375928734873,0.027893503000458914,0.017353248131397516,0.01749546293473137
boehme,baseline,Quaia_maskscan_G20.0_bmin20,1,quaia_maskscan,maskscan,20.0,,,,0,1.5216184854507446,0.03338237692235073,0.021231888688877817,0.0243008131906766
boehme,baseline,Quaia_maskscan_G20.0_bmin25,1,quaia_maskscan,maskscan,25.0,,,,0,1.525849223136902,0.03332402739686681,0.018479025319246816,0.021499606665032308
boehme,baseline,Quaia_maskscan_G20.0_bmin30,1,quaia_maskscan,maskscan,30.0,,,,0,1.529037594795227,0.03328027277260123,0.014540383506096037,0.01870075136825753
boehme,baseline,Quaia_maskscan_G20.0_bmin35,1,quaia_maskscan,maskscan,35.0,,,,0,1.531247854232788,0.033250050621271635,0.012996901061225061,0.01590410236526985
boehme,baseline,Quaia_maskscan_G20.5_bmin20,1,quaia_maskscan,maskscan,20.0,,,,0,1.5471723079681396,0.03303492283183039,0.026413425689114246,0.02424317232017137
boehme,baseline,Quaia_maskscan_G20.5_bmin25,1,quaia_maskscan,maskscan,25.0,,,,0,1.5523033142089844,0.032966570487085095,0.02271426720082429,0.021439935089995674
boehme,baseline,Quaia_maskscan_G20.5_bmin30,1,quaia_maskscan,maskscan,30.0,,,,0,1.55604088306427,0.03291707161611928,0.01989651257914521,0.018639840988165794
boehme,baseline,Quaia_maskscan_G20.5_bmin35,1,quaia_maskscan,maskscan,35.0,,,,0,1.5588762760162354,0.032879683102633325,0.01818408538336793,0.01584178189320742
