run,pack,variant,model,template,k,chi2,aicc,dAICc,g_l,g_b,g_to_CMB_deg,s_l,s_b,s_to_CMB_deg
G,protocol_d_input_pack_boehme2025_lotss_dr2_swap_tier1__zradio_1p0__catwise_w1lt16p5.csv,baseline,BAO_P1,-,3.0,1.6486100015803316,12.448610001580333,-39.310677747348905,230.31497465556407,19.027758152434032,39.92439851256986,,,
G,protocol_d_input_pack_boehme2025_lotss_dr2_swap_tier1__zradio_1p0__catwise_w1lt16p5.csv,baseline,BAO_P1+SYS,radio,6.0,0.2656639055993187,54.26566390559932,2.506376156670079,238.3783052012956,25.86936514166995,30.043246693241727,338.35658145883565,42.621470820249726,50.39382618145552
G,protocol_d_input_pack_boehme2025_lotss_dr2_swap_tier1__zradio_1p0__catwise_w1lt16p5.csv,2MRS_clean,BAO_P1,-,3.0,1.6486100015803316,12.448610001580333,-39.310677747348905,230.31497465556407,19.027758152434032,39.92439851256986,,,
G,protocol_d_input_pack_boehme2025_lotss_dr2_swap_tier1__zradio_1p0__catwise_w1lt16p5.csv,2MRS_clean,BAO_P1+SYS,radio,6.0,0.2656639055993187,54.26566390559932,2.506376156670079,238.3783052012956,25.86936514166995,30.043246693241727,338.35658145883565,42.621470820249726,50.39382618145552
G,protocol_d_input_pack_wagenveld2025_tier1__zradio_1p0__catwise_w1lt16p5.csv,baseline,BAO_P1,-,3.0,11.900359805251476,22.70035980525148,-41.95059332958262,238.48926208312565,35.37370792824535,22.80586090212308,,,
G,protocol_d_input_pack_wagenveld2025_tier1__zradio_1p0__catwise_w1lt16p5.csv,baseline,BAO_P1+SYS,radio,6.0,3.6338754356953222,57.63387543569532,-7.017077699138774,248.4720682686049,45.36239792304141,11.006425632993643,13.254581469803725,40.28248104117321,71.63542455794217
G,protocol_d_input_pack_wagenveld2025_tier1__zradio_1p0__catwise_w1lt16p5.csv,2MRS_clean,BAO_P1,-,3.0,12.9827400035585,23.7827400035585,-34.42495223176352,236.7010106784869,36.87520839187693,22.93671474373276,,,
G,protocol_d_input_pack_wagenveld2025_tier1__zradio_1p0__catwise_w1lt16p5.csv,2MRS_clean,BAO_P1+SYS,radio,6.0,3.975134222135283,57.97513422213528,-0.2325580131867397,247.2160702913449,48.87471569726433,11.115908402284848,23.331003358441933,34.246919815795785,81.3480424638662
G,protocol_d_input_pack_boehme2025_lotss_dr2_swap_tier1__zradio_1p0__catwise_w1lt16p5__quaiaG20p0_pmSiglt2_zbins.csv,baseline,BAO_P1,-,3.0,40.285904948207005,48.00019066249272,-37.81150271144629,256.7976001084724,44.30206627983857,6.36208105807845,,,
G,protocol_d_input_pack_boehme2025_lotss_dr2_swap_tier1__zradio_1p0__catwise_w1lt16p5__quaiaG20p0_pmSiglt2_zbins.csv,baseline,BAO_P1+SYS,radio,6.0,38.49040350748148,58.12676714384512,-27.684926230093893,250.62654499324276,38.90122654619727,13.439975347444593,216.82089986717924,-13.990633630959556,75.01286944075376
G,protocol_d_input_pack_boehme2025_lotss_dr2_swap_tier1__zradio_1p0__catwise_w1lt16p5__quaiaG20p0_pmSiglt2_zbins.csv,baseline,BAO_P1+SYS,quaia,6.0,4.102393941201801,23.73875757756544,-62.07293579637357,289.9824195952773,55.64704427610104,17.489988905560576,10.709827123356945,34.53837462369188,74.60378893859658
G,protocol_d_input_pack_boehme2025_lotss_dr2_swap_tier1__zradio_1p0__catwise_w1lt16p5__quaiaG20p0_pmSiglt2_zbins.csv,2MRS_clean,BAO_P1,-,3.0,40.285904948207005,48.00019066249272,-37.81150271144629,256.7976001084724,44.30206627983857,6.36208105807845,,,
